sample_id,line_id,replicate,condition_name,macrophage_harvest,salmonella_date,ng_ul_mean,rna_extraction,rna_submit,library_pool,chemistry,rna_auto,biosamples_accession
heja_B,heja_1,1,IFNg,8/5/2015,8/12/2015,76.6925,8/14/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885280
heja_C,heja_1,1,SL1344,8/5/2015,8/12/2015,76.6925,8/14/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885352
heja_D,heja_1,1,IFNg_SL1344,8/5/2015,8/12/2015,76.6925,8/14/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885179
hiaf_A,hiaf_2,1,naive,7/16/2015,7/22/2015,339.4775,8/16/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885081
hiaf_B,hiaf_2,1,IFNg,7/16/2015,7/22/2015,339.4775,8/16/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885388
hiaf_C,hiaf_2,1,SL1344,7/16/2015,7/22/2015,339.4775,8/16/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885016
hiaf_D,hiaf_2,1,IFNg_SL1344,7/16/2015,7/22/2015,339.4775,8/16/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885275
hikj_A,hikj_1,1,naive,7/9/2014,7/15/2014,163.555,7/15/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885269
hikj_B,hikj_1,1,IFNg,7/9/2014,7/15/2014,163.555,7/15/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885327
hikj_C,hikj_1,1,SL1344,7/9/2014,7/15/2014,163.555,7/15/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885049
hikj_D,hikj_1,1,IFNg_SL1344,7/9/2014,7/15/2014,163.555,7/15/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885348
huls_A,huls_1,1,naive,9/12/2014,9/18/2014,160.49,9/22/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885020
huls_B,huls_1,1,IFNg,9/12/2014,9/18/2014,160.49,9/22/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885257
huls_C,huls_1,1,SL1344,9/12/2014,9/18/2014,160.49,9/22/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885153
huls_D,huls_1,1,IFNg_SL1344,9/12/2014,9/18/2014,160.49,9/22/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885309
iasn_A,iasn_3,1,naive,5/26/2014,6/3/2014,136.7875,6/9/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885338
iasn_B,iasn_3,1,IFNg,5/26/2014,6/3/2014,136.7875,6/9/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885143
iasn_C,iasn_3,1,SL1344,5/26/2014,6/3/2014,136.7875,6/9/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885360
iasn_D,iasn_3,1,IFNg_SL1344,5/26/2014,6/3/2014,136.7875,6/9/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885241
ieki_A,ieki_2,1,naive,4/7/2015,4/14/2015,228.3525,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885284
ieki_B,ieki_2,1,IFNg,4/7/2015,4/14/2015,228.3525,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885059
ieki_C,ieki_2,1,SL1344,4/7/2015,4/14/2015,228.3525,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103884898
ieki_D,ieki_2,1,IFNg_SL1344,4/7/2015,4/14/2015,228.3525,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885157
iicq_A,iicq_1,1,naive,4/1/2015,4/8/2015,64.63,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885248
iicq_B,iicq_1,1,IFNg,4/1/2015,4/8/2015,64.63,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103884976
