line_id,donor,clone,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,salmonella_date,atac_date,flow_date,medium_changes,terminated,status,mean_purity,max_purity,genotype_id,open_access,sex,RNA_included,ATAC_included
ruyv_1,ruyv,1,1,1/14/2015,2/4/2015,24,frozen,KSR,2/27/2015,27,3/2/2015,4/14/2015,4/17/2015,4/28/2015,9,4/21/2015,Success,0.959751308900524,0.961223821989529,HPSI0713i-ruyv_1,0,female,1,1
sebz_1,sebz,1,1,1/14/2015,3/10/2015,44,frozen,E8,3/30/2015,48,4/2/2015,NA,NA,5/14/2015,8,5/15/2015,Diff_fail,0.854351499788762,0.86723700887199,HPSI1013i-sebz_1,1,female,0,0
sukz_1,sukz,1,1,1/14/2015,3/9/2015,23,frozen,E8,3/27/2015,27,3/30/2015,5/6/2015,5/6/2015,5/5/2015,8,5/8/2015,Success,0.993752788933512,0.999776885319054,HPSI0413i-sukz_1,0,male,1,1
suzg_3,suzg,3,1,1/14/2015,5/21/2015,26,frozen,E8,6/5/2015,30,6/8/2015,NA,NA,NA,8,7/29/2015,Diff_fail,NA,NA,HPSI0513i-suzg_3,0,female,0,0
uimo_1,uimo,1,1,1/14/2015,2/4/2015,39,frozen,E8,2/21/2015,43,2/24/2015,4/1/2015,4/17/2015,4/13/2015,10,4/10/2015,Success,0.985654761904762,0.988035714285714,HPSI0713i-uimo_1,0,female,1,1
vabj_3,vabj,3,1,1/14/2015,9/14/2015,28,frozen,E8,9/30/2015,32,10/3/2015,NA,NA,11/3/2015,7,11/11/2015,FC_QC_fail,0.911439338682227,0.936907366885485,HPSI0114i-vabj_3,1,female,0,0
vass_1,vass,1,1,1/14/2015,3/10/2015,27,frozen,E8,3/26/2015,31,3/29/2015,4/24/2015,4/24/2015,4/23/2015,7,4/29/2015,Success,0.953984753984754,0.981704781704782,HPSI0114i-vass_1,1,female,1,1
veqz_6,veqz,6,1,1/14/2015,3/13/2015,27,frozen,E8,3/30/2015,31,4/2/2015,5/6/2015,5/6/2015,5/5/2015,8,5/12/2015,Success,0.971101444927754,0.973751312434378,HPSI0513i-veqz_6,0,female,1,1
wibj_2,wibj,2,1,1/14/2015,3/10/2015,25,frozen,E8,3/27/2015,29,3/30/2015,4/28/2015,NA,4/23/2015,8,4/29/2015,Success,0.921697443181818,0.924715909090909,HPSI0214i-wibj_2,1,female,1,0
xavk_3,xavk,3,1,1/14/2015,2/23/2015,22,frozen,E8,3/17/2015,26,3/20/2015,NA,NA,4/28/2015,6,4/27/2015,FC_QC_fail,0.780052213124481,0.783018867924528,HPSI0613i-xavk_3,0,female,0,0
